Date| Title| Encabezado | SecLabel 
02/05/2017|la nacion aseguro que epec subio la tarifa por cuenta propia|la nacion aseguro que epec subio la tarifa por cuenta propia|politica
02/05/2017|la odisea de la avenida armada argentina|la odisea de la avenida armada argentina|sucesos
02/05/2017|un bache que sintetiza todos los pozos de la ciudad|un bache que sintetiza todos los pozos de la ciudad|sucesos
02/05/2017|la formacion de especialistas|la formacion de especialistas|ciudadanos
02/05/2017|la ciencia comienza caracterizar los vinos de cordoba|la ciencia comienza caracterizar los vinos de cordoba|ciudadanos
02/05/2017|la carta magna de 1999 y la estrategia oficial|la carta magna de 1999 y la estrategia oficial|mundo
03/05/2017|ninos con su propio celular cuando el cuco vive en el telefono|ninos con su propio celular cuando el cuco vive en el telefono|ciudadanos
03/05/2017|el pais donde solo algunos no pueden quebrar|el pais donde solo algunos no pueden quebrar|politica
03/05/2017|abundan las dudas sobre el destino de alejandra|abundan las dudas sobre el destino de alejandra|sucesos
03/05/2017|la energia entre el costo nacional y lo que suma epec|la energia entre el costo nacional y lo que suma epec|politica
03/05/2017|cloacas de 20 localidades contaminan la cuenca del san roque|cloacas de 20 localidades contaminan la cuenca del san roque|ciudadanos
03/05/2017|emprendedores quieren llevar ideas cordobesas al pais|emprendedores quieren llevar ideas cordobesas al pais|negocios
03/05/2017|zona de riesgo|zona de riesgo|editorial
03/05/2017|llamado la constituyente profundiza la division entre venezolanos|llamado la constituyente profundiza la division entre venezolanos|mundo
03/05/2017|sancor el gremio lacteo desafiado por las bases|sancor el gremio lacteo desafiado por las bases|politica
03/05/2017|subastan el exfrigorifico de huinca renanco|subastan el exfrigorifico de huinca renanco|negocios
03/05/2017|piden prision para otro policia por un caso de gatillo facil|piden prision para otro policia por un caso de gatillo facil|sucesos
03/05/2017|que es un servicio de inteligencia paralelo|que es un servicio de inteligencia paralelo|opinion
03/05/2017|cada vez mas radicalizados|cada vez mas radicalizados|mundo
03/05/2017|calles complicadas mas de 30 cortes de transito por obras en la ciudad|calles complicadas mas de 30 cortes de transito por obras en la ciudad|ciudadanos
03/05/2017|empalme cada empleo con subsidio durara 2 anos|empalme cada empleo con subsidio durara 2 anos|politica
03/05/2017|un crimen en medio de una espiral de violencia|un crimen en medio de una espiral de violencia|sucesos
03/05/2017|se desplomo el consumo de lacteos|se desplomo el consumo de lacteos|ciudadanos
